iter	Passed	Remaining
0	767	7674937
1	1379	6894441
2	1913	6375787
3	2437	6090918
4	3502	7001165
5	4446	7407096
6	5601	7996945
7	7051	8807016
8	8019	8902351
9	9292	9283273
10	10862	9863741
11	12736	10600905
12	14032	10780324
13	14614	10424029
14	15356	10222321
15	16480	10283793
16	17123	10055377
17	17909	9931563
18	18970	9965739
19	19737	9848803
20	20497	9740344
21	20969	9510782
22	21791	9452807
23	22371	9299085
24	22922	9146134
25	23626	9063540
26	23967	8852784
27	24678	8789153
28	25383	8727666
29	26155	8692260
30	26817	8623885
31	27167	8462783
32	27898	8426279
33	28408	8327151
34	29131	8294146
35	29796	8246996
36	30210	8134686
37	30902	8101415
38	31553	8059012
39	32293	8040973
40	32933	7999556
41	33346	7906240
42	33977	7867857
43	34486	7803417
44	34946	7730934
45	35468	7675000
46	36190	7663973
47	36838	7637922
48	37464	7608251
49	38099	7581871
50	38766	7562416
51	39473	7551655
52	40005	7508222
53	40720	7500030
54	41365	7479671
55	41950	7449203
56	42587	7428919
57	43214	7407624
58	43804	7380623
59	44497	7371760
60	45243	7371799
61	45922	7360867
62	46405	7319572
63	46870	7276592
64	47527	7264435
65	48062	7234092
66	48682	7217372
67	49404	7216027
68	49963	7191169
69	50534	7168677
70	51154	7153645
71	51780	7140006
72	52499	7139270
73	53123	7125767
74	53699	7106230
75	54263	7085659
76	54965	7083444
77	55606	7073467
78	56179	7055204
79	56801	7043431
80	57456	7035978
81	58038	7019811
82	58751	7019735
83	59583	7033665
84	60200	7022238
85	60924	7023330
86	61648	7024415
87	62253	7012024
88	62822	6995854
89	63362	6976924
90	63892	6957310
91	64601	6957314
92	65948	7025236
93	67071	7068142
94	68197	7110465
95	69474	7167490
96	70893	7237702
97	71855	7260307
98	72937	7294444
99	74320	7357691
100	75469	7396717
101	77164	7488010
102	78800	7571704
103	80391	7649520
104	81918	7719861
105	83534	7797123
106	85154	7873175
107	86798	7950111
108	88356	8017700
109	90014	8093116
110	91846	8182577
111	93640	8267104
112	95366	8344142
113	97217	8430628
114	98760	8489136
115	100609	8572634
116	102382	8648263
117	104131	8720585
118	105594	8767914
119	107059	8814528
120	108314	8843310
121	109956	8902901
122	111324	8939462
123	112662	8973003
124	113554	8970818
125	114824	8998199
126	116387	9047978
127	117211	9039954
128	117946	9025198
129	118790	9018916
130	119544	9006019
131	120551	9012145
132	121612	9022185
133	122501	9019404
134	123570	9029793
135	124501	9029996
136	125502	9035282
137	126567	9044989
138	127425	9039873
