iter	Logloss	AUC
0	0.002349136946	0.1	9.06046071	1.67072	9.054993822	1.67073	9.054993823	1.67074	9.054993824	1.67075	9.054993825	1.67076	9.054993826	1.67077	9.054993827	1.67078	9.054993828	1.67079	9.054993829	1.670710	9.054993810	1.670711	9.054993811	1.670712	9.054993812	1.670113	9.054993813	1.671414	9.054993814	1.615	15	9.054993815	1.16	116	9.054993816	117	1.17	9.054993817	18	1.618	9.05499381819	1.6119	9.0549938120	1.61720	9.054993821	1.617521	9.05499322	1.6175622	9.0549923	1.61756923	9.054924	1.617569324	9.05425	1.6175693125	9.0526	1.61756931e26	9.027	1.61756931e-27	9.28	1.61756931e-028	929	1.61756931e-0529	30	1.61756931e-05	3031	1.61756931e-05	1332	1.61756931e-05	1
33	1.61756931e-05	1
34	1.61756931e-05	1
35	1.61756931e-05	1
36	1.61756931e-05	1
37	1.61756931e-05	1
38	1.61756931e-05	1
39	1.61756931e-05	1
40	1.61756931e-05	1
41	1.61756931e-05	1
42	1.61756931e-05	1
43	1.61756931e-05	1
44	1.61756931e-05	1
45	1.61756931e-05	1
46	1.61756931e-05	1
47	1.61756931e-05	1
48	1.61756931e-05	1
49	1.61756931e-05	1
50	1.61756931e-05	1
51	1.61756931e-05	1
52	1.61756931e-05	1
53	1.61756931e-05	1
54	1.61756931e-05	1
55	1.61756931e-05	1
56	1.61756931e-05	1
57	1.61756931e-05	1
58	1.61756931e-05	1
59	1.61756931e-05	1
60	1.61756931e-05	1
61	1.61756931e-05	1
62	1.61756931e-05	1
63	1.61756931e-05	1
64	1.61756931e-05	1
65	1.61756931e-05	1
66	1.61756931e-05	1
67	1.61756931e-05	1
68	1.61756931e-05	1
69	1.61756931e-05	1
70	1.61756931e-05	1
71	1.61756931e-05	1
72	1.61756931e-05	1
73	1.61756931e-05	1
74	1.61756931e-05	1
75	1.61756931e-05	1
76	1.61756931e-05	1
77	1.61756931e-05	1
78	1.61756931e-05	1
79	1.61756931e-05	1
80	1.61756931e-05	1
81	1.61756931e-05	1
82	1.61756931e-05	1
83	1.61756931e-05	1
80	1.670781	9.054993881	1.670782	9.054993882	1.670783	9.054993883	1.670796225e-05	1
