iter	Passed	Remaining
0	10492	514150
1	15357	368585
2	19984	313083
3	23029	264843
4	25451	229066
5	28606	209783
6	31318	192387
7	33769	177288
8	36185	164843
9	38663	154652
10	40943	145164
11	43302	137124
12	45732	130162
13	48232	124025
14	50756	118431
15	53207	113065
16	55527	107788
17	58107	103302
18	60535	98768
19	62970	94455
20	65394	90306
21	68149	86735
22	71445	83870
23	74301	80493
24	77794	77794
25	82037	75727
26	84584	72053
27	86999	68356
28	89376	64720
29	91779	61186
30	94271	57779
31	97393	54783
32	100798	51926
33	103357	48638
34	105792	45339
35	108376	42146
36	111165	39058
37	113544	35856
38	115892	32687
39	118145	29536
40	120602	26473
41	122983	23425
42	125511	20432
43	127822	17430
44	130122	14458
45	132370	11510
46	134546	8588
47	136805	5700
48	139125	2839
49	141353	0
