iter	Logloss	AUC
0	2.262279148e-05	1
1	1.284676886e-05	1
2	1.280422362e-05	1
3	1.279363171e-05	1
4	1.279363171e-05	1
5	1.279363171e-05	1
6	1.279363171e-05	1
7	1.279363171e-05	1
8	1.279363171e-05	1
9	1.279363171e-05	1
10	1.279363171e-05	1
11	1.279363171e-05	1
12	1.279363171e-05	1
13	1.279363171e-05	1
14	1.279363171e-05	1
15	1.279363171e-05	1
16	1.279363171e-05	1
17	1.279363171e-05	1
18	1.279363171e-05	1
19	1.279363171e-05	1
20	1.279363171e-05	1
21	1.279363171e-05	1
22	1.279363171e-05	1
23	1.279363171e-05	1
24	1.279363171e-05	1
25	1.279363171e-05	1
26	1.279363171e-05	1
27	1.279363171e-05	1
28	1.279363171e-05	1
29	1.279363171e-05	1
30	1.279363171e-05	1
31	1.279363171e-05	1
32	1.279363171e-05	1
33	1.279363171e-05	1
34	1.279363171e-05	1
35	1.279363171e-05	1
36	1.279363171e-05	1
37	1.279363171e-05	1
38	1.279363171e-05	1
39	1.279363171e-05	1
40	1.279363171e-05	1
41	1.279363171e-05	1
42	1.279363171e-05	1
43	1.279363171e-05	1
44	1.279363171e-05	1
45	1.279363171e-05	1
46	1.279363171e-05	1
47	1.279363171e-05	1
48	1.279363171e-05	1
49	1.279363171e-05	1
50	1.279363171e-05	1
51	1.279363171e-05	1
52	1.279363171e-05	1
53	1.279363171e-05	1
54	1.279363171e-05	1
55	1.279363171e-05	1
56	1.279363171e-05	1
57	1.279363171e-05	1
58	1.279363171e-05	1
59	1.279363171e-05	1
60	1.279363171e-05	1
61	1.279363171e-05	1
62	1.279363171e-05	1
63	1.279363171e-05	1
64	1.279363171e-05	1
65	1.279363171e-05	1
66	1.279363171e-05	1
67	1.279363171e-05	1
68	1.279363171e-05	1
69	1.279363171e-05	1
70	1.279363171e-05	1
71	1.279363171e-05	1
72	1.279363171e-05	1
73	1.279363171e-05	1
74	1.279363171e-05	1
75	1.279363171e-05	1
76	1.279363171e-05	1
77	1.279363171e-05	1
78	1.279363171e-05	1
79	1.279363171e-05	1
80	1.279363171e-05	1
81	1.279363171e-05	1
82	1.279363171e-05	1
83	1.279363171e-05	1
84	1.279363171e-05	1
85	1.279363171e-05	1
86	1.279363171e-05	1
87	1.279363171e-05	1
88	1.279363171e-05	1
89	1.279363171e-05	1
90	1.279363171e-05	1
91	1.279363171e-05	1
92	1.279363171e-05	1
93	1.279363171e-05	1
94	1.279363171e-05	1
95	1.279363171e-05	1
96	1.279363171e-05	1
97	1.279363171e-05	1
98	1.279363171e-05	1
99	1.279363171e-05	1
100	1.279363171e-05	1
101	1.279363171e-05	1
102	1.279363171e-05	1
103	1.279363171e-05	1
104	1.279363171e-05	1
105	1.279363171e-05	1
106	1.279363171e-05	1
107	1.279363171e-05	1
108	1.279363171e-05	1
109	1.279363171e-05	1
110	1.279363171e-05	1
111	1.279363171e-05	1
112	1.279363171e-05	1
113	1.279363171e-05	1
114	1.279363171e-05	1
115	1.279363171e-05	1
116	1.279363171e-05	1
117	1.279363171e-05	1
118	1.279363171e-05	1
119	1.279363171e-05	1
120	1.279363171e-05	1
121	1.279363171e-05	1
122	1.279363171e-05	1
123	1.279363171e-05	1
124	1.279363171e-05	1
125	1.279363171e-05	1
126	1.279363171e-05	1
127	1.279363171e-05	1
128	1.279363171e-05	1
129	1.279363171e-05	1
130	1.279363171e-05	1
131	1.279363171e-05	1
132	1.279363171e-05	1
133	1.279363171e-05	1
134	1.279363171e-05	1
135	1.279363171e-05	1
136	1.279363171e-05	1
137	1.279363171e-05	1
138	1.279363171e-05	1
139	1.279363171e-05	1
140	1.279363171e-05	1
141	1.279363171e-05	1
142	1.279363171e-05	1
143	1.279363171e-05	1
144	1.279363171e-05	1
